an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2015,istorie,Istorie,simulare,Simulare,subiect,2015-simulare-subiect.pdf,bac/2015/istorie/simulare/2015-simulare-subiect.pdf,49714,0f5a159a34562b7b9976263993438a7d020e1a97a72b5967daf1211bdd4bebf4
2015,logica,Logica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-barem.pdf,bac/2015/logica/sesiune-iunie-iulie/2015-iunie-iulie-barem.pdf,35573,72a537dfa9413ea4b4c918ccd75b5caa28b71bc405fa0acad4535f211d1c894c
2015,logica,Logica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-subiect.pdf,bac/2015/logica/sesiune-iunie-iulie/2015-iunie-iulie-subiect.pdf,40975,cb28af5deafe795395c9bd27f9c7eec3ec90c496732a6a9315576df65d87890f
2015,logica,Logica,simulare,Simulare,barem,2015-simulare-barem.pdf,bac/2015/logica/simulare/2015-simulare-barem.pdf,35601,7c3c74cb7e8bc742dde9d704d4a949d51bcde6d9287c5242c15fb0eb03c83f18
2015,logica,Logica,simulare,Simulare,subiect,2015-simulare-subiect.pdf,bac/2015/logica/simulare/2015-simulare-subiect.pdf,40001,336e81bcf54151b7e1cc36b2ca7a0a2d2dd73b712792d8534ff96b8b932ecc89
2016,filosofie,Filosofie,simulare,Simulare,barem,2016-simulare-barem.pdf,bac/2016/filosofie/simulare/2016-simulare-barem.pdf,31529,e785a5ee08dd419e577bb56208449af8db51eeb1a7e11b7afcc324778e113bcf
2016,filosofie,Filosofie,simulare,Simulare,subiect,2016-simulare-subiect.pdf,bac/2016/filosofie/simulare/2016-simulare-subiect.pdf,46084,a706aaada4ca3f3ecf8e0dafeda5a416be827e35e082abc2be050c6946cf2b02
2016,istorie,Istorie,sesiune-speciala,Sesiunea speciala,barem,2016-speciala-barem.pdf,bac/2016/istorie/sesiune-speciala/2016-speciala-barem.pdf,51719,ee33b7c05e18f3aea52fe1f4eefbe8e225cabbafcace5e347865edb044e21f5c
2016,istorie,Istorie,sesiune-speciala,Sesiunea speciala,subiect,2016-speciala-subiect.pdf,bac/2016/istorie/sesiune-speciala/2016-speciala-subiect.pdf,58523,d2f540743b2f5e2d9d8296c0557c7fddf9ca2bced3cb4931f356ab78cb9e746d
2016,istorie,Istorie,simulare,Simulare,barem,2016-simulare-barem.pdf,bac/2016/istorie/simulare/2016-simulare-barem.pdf,51294,eb78f66c51f03c50a969974946aedfe416240e761dc501ccd6a8d058b66dea89
2016,istorie,Istorie,simulare,Simulare,subiect,2016-simulare-subiect.pdf,bac/2016/istorie/simulare/2016-simulare-subiect.pdf,50903,b952c865518f728caba39c682634f62f979e65319f058a2dc79095584727e9c8
2016,logica,Logica,sesiune-speciala,Sesiunea speciala,barem,2016-speciala-barem.pdf,bac/2016/logica/sesiune-speciala/2016-speciala-barem.pdf,35701,eef8d14c668f0da989c97a6e37dde5fcb44bdd4e97cfc4a9b95f819388343e66
2016,logica,Logica,sesiune-speciala,Sesiunea speciala,subiect,2016-speciala-subiect.pdf,bac/2016/logica/sesiune-speciala/2016-speciala-subiect.pdf,40565,22ae33ecb8632a018c8c3e0ca432e95f4759130e5ac255e695b4c2883cf1aa81
2016,logica,Logica,simulare,Simulare,barem,2016-simulare-barem.pdf,bac/2016/logica/simulare/2016-simulare-barem.pdf,35690,e4144a126a2018abea09902df99197b5c65c0eea80b4e1a3bd82873adb1c1860
2016,logica,Logica,simulare,Simulare,subiect,2016-simulare-subiect.pdf,bac/2016/logica/simulare/2016-simulare-subiect.pdf,40238,a09a0e21388de9ac90fa78e70aac2fd239cc728eb054510f0fe0d70404bc3413
2017,filosofie,Filosofie,simulare,Simulare,barem,2017-simulare-barem.pdf,bac/2017/filosofie/simulare/2017-simulare-barem.pdf,30882,52cf768b1c57dfa438a21a933c7daec4dc866a0a1913410f7f19f701fd7aee08
2017,filosofie,Filosofie,simulare,Simulare,subiect,2017-simulare-subiect.pdf,bac/2017/filosofie/simulare/2017-simulare-subiect.pdf,51469,0c33e216b493f1359e758acbb12ea1284ae1e037726794aa766b2b6eb14e3694
2017,istorie,Istorie,simulare,Simulare,barem,2017-simulare-barem.pdf,bac/2017/istorie/simulare/2017-simulare-barem.pdf,45690,04afba67622fb4e4e9b246b3c5f8a1219e14015cfe68b89f8d4d0e96dc77a1ec
2017,istorie,Istorie,simulare,Simulare,subiect,2017-simulare-subiect.pdf,bac/2017/istorie/simulare/2017-simulare-subiect.pdf,58924,d98753bfb9c8cf4d377abc609a84c2659f7e5f9e027cce11288f87c42b35dc40
2017,logica,Logica,simulare,Simulare,barem,2017-simulare-barem.pdf,bac/2017/logica/simulare/2017-simulare-barem.pdf,42033,98e353551b01dbafc60fd4d1b548ce407b21db7d963ecb230c3be70847a1b0e9
2017,logica,Logica,simulare,Simulare,subiect,2017-simulare-subiect.pdf,bac/2017/logica/simulare/2017-simulare-subiect.pdf,43788,df494d3ee15a3ea1b85043d2c003074c49ce88712dbc0fd70b986f10c7ff7a17
2018,filosofie,Filosofie,simulare,Simulare,barem,2018-simulare-barem.pdf,bac/2018/filosofie/simulare/2018-simulare-barem.pdf,50545,379e89bc37e4f19b7b7c68267ef1c51d3d1f842fade326ef558843c9c3ff4c45
2018,filosofie,Filosofie,simulare,Simulare,subiect,2018-simulare-subiect.pdf,bac/2018/filosofie/simulare/2018-simulare-subiect.pdf,116522,f7dbe03e9bc0fd885a57fce38b7db69bd71f3963132751260c76d970d3c95fba
