an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2022,romana,Limba romana,sesiune-august,Sesiunea august,subiect,2022-august-uman-pedagogic-subiect.pdf,bac/2022/romana/sesiune-august/2022-august-uman-pedagogic-subiect.pdf,184161,23b3e305a4b77f6fb83456d4f8a66b58e9a78e0a9275348f0b3eaac94d68bd29
2022,romana,Limba romana,sesiune-iunie,Sesiunea iunie,barem,2022-iunie-real-tehnologic-barem.pdf,bac/2022/romana/sesiune-iunie/2022-iunie-real-tehnologic-barem.pdf,186709,612b1906137eda148fbe98494604c94b615ad37da792ccd90d1bd1eace128134
2022,romana,Limba romana,sesiune-iunie,Sesiunea iunie,subiect,2022-iunie-real-tehnologic-subiect.pdf,bac/2022/romana/sesiune-iunie/2022-iunie-real-tehnologic-subiect.pdf,208697,2fb71ffd6f3d62789bf5204770d44f5a1fd83a13b19efd5b7b4cf6c9771a2646
2022,romana,Limba romana,sesiune-iunie,Sesiunea iunie,barem,2022-iunie-uman-pedagogic-barem.pdf,bac/2022/romana/sesiune-iunie/2022-iunie-uman-pedagogic-barem.pdf,184561,f36e49cfa9581cbac5e4e702c5925cee2a3b3e5813fad9c1a6d512a7900afe45
2022,romana,Limba romana,sesiune-iunie,Sesiunea iunie,subiect,2022-iunie-uman-pedagogic-subiect.pdf,bac/2022/romana/sesiune-iunie/2022-iunie-uman-pedagogic-subiect.pdf,207372,df0493a7eb8d842d3c1012ac014e411bc4193bc77c05d85a8865ce2aebb4ac09
2022,romana,Limba romana,sesiune-speciala,Sesiunea speciala,barem,2022-speciala-real-tehnologic-barem.pdf,bac/2022/romana/sesiune-speciala/2022-speciala-real-tehnologic-barem.pdf,183609,ba13bf0b8d0b78b3367e7b606142f4ea5fe88dccc6008498c9de2c82711e1e95
2022,romana,Limba romana,sesiune-speciala,Sesiunea speciala,subiect,2022-speciala-real-tehnologic-subiect.pdf,bac/2022/romana/sesiune-speciala/2022-speciala-real-tehnologic-subiect.pdf,208055,be5e5e8e21e30afece4f4b1d5d54091406d531fe93bf80695d49fc9e2bd08b73
2022,romana,Limba romana,sesiune-speciala,Sesiunea speciala,barem,2022-speciala-uman-pedagogic-barem.pdf,bac/2022/romana/sesiune-speciala/2022-speciala-uman-pedagogic-barem.pdf,182074,56bfaacc14aaf9214937ddfbd8880aae22bcf8a740271145581ea3195879a76d
2022,romana,Limba romana,sesiune-speciala,Sesiunea speciala,subiect,2022-speciala-uman-pedagogic-subiect.pdf,bac/2022/romana/sesiune-speciala/2022-speciala-uman-pedagogic-subiect.pdf,206982,6ec9e789684fa30b1e27e86674a93030928feb2beb23d7ef7f3e14e047048cd8
2022,romana,Limba romana,simulare,Simulare,barem,2022-simulare-real-tehnologic-barem.pdf,bac/2022/romana/simulare/2022-simulare-real-tehnologic-barem.pdf,183418,6ada0e14aa11085905e238d2cdcca0da4e950eb75b165a8a801916347c7ab6e8
2022,romana,Limba romana,simulare,Simulare,subiect,2022-simulare-real-tehnologic-subiect.pdf,bac/2022/romana/simulare/2022-simulare-real-tehnologic-subiect.pdf,191831,2bb1053518c2166e4fe49683338d432337e93bba6bc40cd94ee28d75c6b7f2e0
2022,romana,Limba romana,simulare,Simulare,barem,2022-simulare-uman-pedagogic-barem.pdf,bac/2022/romana/simulare/2022-simulare-uman-pedagogic-barem.pdf,182140,9db429ded743ce227cb4eb7e8e2107c2a9f1a2125ea5b47bc99bca828b807e0e
2022,romana,Limba romana,simulare,Simulare,subiect,2022-simulare-uman-pedagogic-subiect.pdf,bac/2022/romana/simulare/2022-simulare-uman-pedagogic-subiect.pdf,191222,ff67fa2e07751d62a5496d66272fbe036e886e002ff6901cc445dd3135fdf0bf
2023,romana,Limba romana,model,Model,barem,2023-model-real-tehnologic-barem.pdf,bac/2023/romana/model/2023-model-real-tehnologic-barem.pdf,185438,44ad9b38b4b20410b690f07127dfcf25c3156f30278a1e1abe223e590fe08cc1
2023,romana,Limba romana,model,Model,subiect,2023-model-real-tehnologic-subiect.pdf,bac/2023/romana/model/2023-model-real-tehnologic-subiect.pdf,187599,e2d3e7428bc90039170094681cd5affb918559afbe0946599a8e0d58112f7bb0
2023,romana,Limba romana,model,Model,barem,2023-model-uman-pedagogic-barem.pdf,bac/2023/romana/model/2023-model-uman-pedagogic-barem.pdf,182968,a32a0df694f6c6f28c84fca736736b5b5f2857ddeb02dd1faca6640ebd6ef00a
2023,romana,Limba romana,model,Model,subiect,2023-model-uman-pedagogic-subiect.pdf,bac/2023/romana/model/2023-model-uman-pedagogic-subiect.pdf,186265,88d82119d6df68186de57082560eb356877263f00044ba08c1c9fbfea9be6c70
